Text,Label
ca sĩ hát như đéo,1
giai điệu nhẹ nhàng dễ nghe,0
nghe xong thấy đéo,1
ca sĩ hát như thằng ngu,1
bài này chill thật,0
bài này đỉnh thật,0
bài này tệ dm,1
bài này hay quá,0
tôi thích bài này,0
bài này đúng gu tôi,0
bài này chill thật,0
nhạc như khốn,1
bài này tệ khốn,1
nhạc nghe cuốn quá,0
bài này đỉnh thật,0
ca sĩ hát như óc chó,1
bài này tệ địt,1
ca từ rất ý nghĩa,0
bài này đúng kiểu đéo,1
nghe xong thấy ngu,1
tôi thích bài này,0
bài này đồ điên thật,1
giai điệu rất bắt tai,0
ca sĩ hát rất hay,0
bài này đúng kiểu cc,1
giai điệu rất bắt tai,0
bài này đỉnh thật,0
giai điệu nhẹ nhàng dễ nghe,0
bài này chill thật,0
ca sĩ hát rất hay,0
nghe mà muốn chửi vl,1
bài này địt thật,1
bài này đúng gu tôi,0
ca sĩ hát như địt mẹ,1
nhạc gì mà rác vậy,1
nhạc nghe cuốn quá,0
ca sĩ hát như đồ điên,1
ca sĩ hát như địt,1
nhạc nghe cuốn quá,0
bài này nghe hoài không chán,0
bài này nghe hoài không chán,0
nhạc rất tuyệt,0
tôi thích bài này,0
bài này đúng gu tôi,0
bài này nghe như rác,1
bài này đúng gu tôi,0
giai điệu nhẹ nhàng dễ nghe,0
bài này nghe như thằng ngu,1
bài này tệ khốn,1
tôi thích bài này,0
nhạc gì mà shit vậy,1
giai điệu rất bắt tai,0
bài này đúng kiểu địt mẹ,1
bài này nghe như địt mẹ,1
bài này đúng gu tôi,0
nghe rất thư giãn,0
nghe mà muốn chửi đồ điên,1
ca sĩ hát như đéo,1
tôi sẽ thêm bài này vào playlist,0
bài này đúng gu tôi,0
nhạc rất tuyệt,0
nhạc gì mà ngu vậy,1
ca sĩ hát như rác,1
bài này đéo thật,1
ca từ rất ý nghĩa,0
bài này tệ ngu như bò,1
nhạc nghe cuốn quá,0
bài này nghe như rác,1
bài này nghe như vcl,1
nhạc nghe cuốn quá,0
bài này nghe ổn áp,0
bài này hay quá,0
tôi sẽ thêm bài này vào playlist,0
bài này hay quá,0
bài này đúng là vcl,1
bài này nghe hoài không chán,0
nhạc nghe cuốn quá,0
bài này hay quá,0
nhạc nghe cuốn quá,0
bài này nghe hoài không chán,0
ca sĩ hát rất hay,0
bài này nghe như dm,1
bài này chill thật,0
bài này địt mẹ thật,1
bài này đỉnh thật,0
nghe mà muốn chửi ngu như bò,1
giai điệu rất bắt tai,0
bài này khốn thật,1
bài này đỉnh thật,0
ca sĩ hát rất hay,0
bài này đúng là shit,1
ca sĩ hát như óc chó,1
nhạc như shit,1
tôi sẽ thêm bài này vào playlist,0
tôi sẽ thêm bài này vào playlist,0
nghe rất thư giãn,0
bài này thằng ngu thật,1
tôi sẽ thêm bài này vào playlist,0
bài này chill thật,0
nhạc nghe cuốn quá,0
nhạc nghe cuốn quá,0
bài này nghe ổn áp,0
bài này đúng gu tôi,0
bài này tệ thằng ngu,1
nhạc rất tuyệt,0
bài này nghe ổn áp,0
bài này đúng gu tôi,0
bài này nghe như cứt,1
nghe mà muốn chửi óc chó,1
nghe mà muốn chửi rác,1
